sourceid,destid,distance,duration,duration_in_traffic
4,119,18669,2727,5844
4,142,20309,3289,6792
4,143,21113,2927,6461
4,144,21351,3341,7084
4,145,20088,3022,6559
4,153,22925,3329,6915
4,155,23110,3283,6448
4,156,28622,3758,6242
4,154,22909,3255,7051
4,162,27681,3481,5947
4,163,28127,3561,6036
4,164,28981,3649,6404
4,161,27669,3443,5878
4,165,29658,3859,6819
4,166,23240,3534,7752
4,167,22755,3222,7043
4,180,31403,4173,7246
4,181,31711,4179,7196
4,182,30727,4148,7046
4,146,22016,3361,7047
4,147,21643,3282,7400
4,148,23687,3392,7303
4,151,24181,3651,7967
4,152,24503,3601,7336
4,178,32372,4263,7836
4,173,26104,3819,8483
4,176,26915,3997,8299
4,168,23912,3630,7805
4,169,24016,3364,7225
4,179,23603,3627,8177
4,149,36933,4539,8498
4,150,30645,3684,7159
4,82,27408,3375,5762
4,83,33255,4217,6289
4,84,33483,3861,7302
4,85,27397,3141,5977
4,174,35400,4118,8288
4,175,27032,4233,10066
4,186,32311,4392,7876
4,187,28031,4116,8915
4,188,28240,4247,8969
4,189,28330,4223,9821
4,190,29225,4144,9641
4,191,38497,4863,9577
4,193,49227,5109,8411
4,184,32137,4406,7455
4,185,32323,4331,7402
4,192,57547,5753,8846
4,194,46900,4749,7804
4,195,34880,4862,8541
4,196,49002,5090,8138
4,1,5633,903,1491
4,52,21555,2873,5058
4,129,23177,3066,5520
4,170,24951,3740,7583
4,171,23917,3752,7978
4,183,28799,3707,6448
4,197,33582,4499,7966
4,177,26345,3897,8434
4,172,25659,3756,8397
4,26,18368,2326,4236
4,25,15286,2045,3391
4,86,28148,3337,6450
4,198,31991,4030,7009
51,2,21666,2550,4342
51,3,20991,2814,4684
51,4,17226,2162,3787
51,53,7670,1566,2227
51,54,5988,1184,1758
51,55,3981,840,1099
51,56,4850,1051,1520
51,81,7025,1549,2377
51,87,13412,1895,3340
51,10,16094,2117,3375
51,11,19215,2705,4193
51,5,15093,2171,3396
51,6,9602,1370,2172
51,7,11873,1920,3201
51,8,13617,1785,2896
51,9,17769,2389,3970
51,130,31790,3999,7247
51,159,35006,4497,8032
51,40,26225,3815,6870
51,72,27289,3619,6600
51,16,17424,2228,3793
51,160,33504,4118,7276
51,17,16503,2147,3475
51,37,17024,2209,3746
51,38,18756,2552,4627
51,42,19263,2565,4750
51,69,21432,2838,5102
51,73,25539,3286,5813
51,12,21333,3178,5003
51,13,22047,3095,4886
51,14,23724,3442,5441
51,15,21760,3187,5215
51,39,22780,3036,5437
51,41,22594,3135,5867
51,70,24122,3333,5723
51,71,25310,3476,6089
51,102,24649,3294,5865
51,43,20498,2840,4963
51,44,19634,2698,4624
51,67,19765,2711,5198
51,68,20816,2920,5100
51,74,22846,3282,6042
51,75,21570,3014,5734
51,35,15404,1959,3466
51,36,16037,2200,3432
51,45,18429,2392,4449
51,64,16386,2238,4070
51,65,17762,2316,4302
51,66,18455,2382,4496
51,76,19267,2601,4834
51,18,14496,1835,3003
51,19,13284,1814,3061
51,20,13557,1676,2825
51,21,12561,1772,2953
51,22,10102,1608,2822
51,33,10825,2011,3296
51,34,14267,1768,3074
51,46,11180,2011,3264
51,31,8714,1582,2528
51,32,8905,1594,2564
51,47,10562,1951,3067
51,48,9242,1760,2744
51,60,9278,1477,2353
51,61,10623,1849,2911
51,78,8213,1613,2689
51,23,8477,1382,2148
51,24,8452,1247,2106
51,27,3780,915,1365
51,28,5472,1253,2060
51,29,6046,1087,1780
51,30,8669,1604,2549
51,49,7988,1319,2114
51,59,6097,1267,2094
51,113,10329,2101,3302
51,50,6007,1330,1935
51,57,4607,1111,1560
51,58,7262,1463,2037
51,79,7795,1627,2553
51,80,9528,1831,3259
51,88,9101,1794,2601
51,110,13868,2709,4857
51,62,11457,1975,3118
51,63,11505,1906,3119
51,90,10458,1892,3155
51,91,9124,1853,3009
51,92,9458,1988,3237
51,93,17935,2115,4367
51,111,11761,2284,3972
51,112,11525,2155,3766
51,114,13271,2265,4020
51,115,13749,2589,4775
51,116,14286,2917,4802
51,117,13403,2610,4576
51,89,11257,2100,3407
51,109,15698,2833,4844
51,120,21488,2873,5524
51,121,21564,3055,5902
51,77,17893,2349,4173
51,94,18865,2505,4927
51,95,20221,2874,5259
51,96,21011,2841,5462
51,100,21877,3123,5995
51,101,23202,3380,6360
51,107,21612,3005,5584
51,108,20942,3025,5555
51,97,19565,2752,5050
51,98,20057,2776,5066
51,99,21055,2949,5447
51,103,24866,3251,5848
51,104,24039,3512,6583
51,105,23133,3264,6232
51,106,23439,3192,6253
51,125,26904,3501,6172
51,126,27439,3535,6346
51,127,26523,3351,5979
51,128,27425,3285,5795
51,131,28686,3528,6102
51,122,21846,3088,5975
51,123,25235,3340,6025
51,124,23985,3395,6410
51,132,28577,3511,6146
51,133,25305,3539,6774
51,134,24389,3540,6584
51,157,19130,3529,6444
51,158,30859,3662,6282
51,135,24526,3504,6585
51,136,17593,3232,5782
51,137,22930,3189,6166
51,138,22378,3090,5971
51,139,21469,3110,5792
51,140,16806,3235,5750
51,141,17829,3316,5908
51,118,16203,2934,5119
51,119,16176,2878,5058
51,142,17403,3356,6155
51,143,17173,3246,6365
51,144,16202,3183,6039
51,145,15144,2827,5332
51,153,17211,3285,5661
51,155,24952,3572,6678
51,156,19482,3655,6458
51,154,18437,3528,6747
51,162,32340,3930,6709
51,163,20768,4009,7728
51,164,20909,3781,7249
51,161,32328,3893,6654
51,165,20539,3976,7579
51,166,19552,3688,7148
51,167,18542,3548,6859
51,180,22604,4107,7766
51,181,22639,4259,8458
51,182,22672,4332,8321
51,146,15429,2954,5180
51,147,15527,2759,5272
51,148,15450,2722,5230
51,151,16042,2869,5617
51,152,17002,3387,5889
51,178,26469,3730,7989
51,173,20390,2761,5367
51,176,24416,3756,7831
51,168,18921,3485,6730
51,169,18240,3338,6451
51,179,19958,3787,7448
51,149,19196,3094,5504
51,150,14562,2109,3896
51,82,8184,1615,2403
51,83,13060,2162,3607
51,84,15786,2316,4235
51,85,9700,1561,2802
51,174,20918,3069,5827
51,175,23322,3163,6771
51,186,22359,4286,8105
51,187,26235,3716,7822
51,188,25714,3854,7883
51,189,25024,3799,7800
51,190,23330,3538,6604
51,191,25110,3818,6878
51,193,29266,4475,9241
51,184,36559,4816,8269
51,185,28972,4198,9146
51,192,28674,4450,9096
51,194,32247,4897,9868
51,195,30140,4640,9633
51,196,39817,5377,9373
51,1,20434,2307,3627
51,52,5363,1317,1712
51,129,28980,3649,6370
51,170,18003,3578,6534
51,171,17463,3425,6105
51,183,21505,4173,8199
51,197,24865,4681,9258
51,177,19018,3748,6916
51,172,21962,2995,6288
51,26,4341,904,1274
51,25,5813,1258,1800
51,86,12065,1762,3114
51,198,36650,4480,7836
53,2,29015,3350,6548
53,3,28112,3702,6465
53,4,24575,2963,5988
53,51,7080,1389,2069
53,54,2206,510,762
53,55,6661,1084,1783
53,56,7501,1290,2426
53,81,9650,1750,3030
53,87,14812,2064,3885
53,10,22969,2857,5678
53,11,25056,3465,6121
53,5,22294,3191,4802
53,6,16951,2170,4250
53,7,19278,2734,5263
53,8,20966,2585,5079
53,9,22907,3417,5746
53,130,37996,4665,9517
53,159,57127,5788,10733
53,40,33574,4615,9056
53,72,33177,4629,8614
53,16,24774,3029,6070
53,160,30924,4859,9264
53,17,23853,2947,5680
53,37,22912,3219,5618
53,38,24644,3562,6581
53,42,26613,3365,7033
53,69,27319,3848,7068
53,73,31744,3952,8001
53,12,28602,3701,7215
53,13,27855,3828,6743
53,14,30505,3979,7908
53,15,28887,3642,7566
53,39,30129,3836,7791
53,41,29943,3935,8080
53,70,30328,4000,7972
53,71,31198,4486,8019
53,102,31999,4094,8183
53,43,27754,3599,7408
53,44,25522,3708,6566
53,67,25653,3721,6908
53,68,26704,3931,6983
53,74,30413,3903,7855
53,75,28891,3777,7953
53,35,22753,2759,5381
53,36,23127,3226,5451
53,45,25778,3192,6430
53,64,23706,3002,6194
53,65,23650,3326,5995
53,66,25804,3183,6488
53,76,25155,3611,6517
53,18,21845,2636,5149
53,19,20633,2615,5113
53,20,20906,2476,4852
53,21,19910,2572,4977
53,22,17492,2427,4797
53,33,21188,2650,5112
53,34,21616,2568,5040
53,46,18530,2811,5276
53,31,14332,2607,4207
53,32,16254,2395,4609
53,47,17577,2757,5043
53,48,15339,2797,4593
53,60,13957,2196,4021
53,61,15266,2582,4489
53,78,14230,2148,4025
53,23,14871,2164,4158
53,24,13431,2265,3843
53,27,11262,1717,3040
