sourceid,destid,distance,duration,fare
4,135,22214,5623,37
4,136,21606,5435,37
4,137,21328,5173,32
4,138,23832,5580,33
4,139,19187,4896,22
4,140,20605,5091,37
4,141,24013,5400,33
4,118,18543,4703,22
4,119,18143,4429,22
4,142,21389,5263,37
4,143,20256,5248,37
4,144,20782,5473,37
4,145,19997,4982,37
4,153,22808,6324,42
4,155,23746,6040,39
4,156,23979,6270,37
4,154,28643,6044,42
4,162,25019,6154,41
4,163,25040,6433,41
4,164,24343,6116,39
4,161,33368,6815,43
4,165,30933,6695,43
4,166,22395,5877,37
4,167,29131,6384,42
4,180,28730,6197,52
4,181,25303,6466,40
4,182,32661,7003,43
4,146,23223,5393,87
4,147,22902,5700,51
4,148,26133,6234,41
4,151,25575,6436,41
4,152,23553,6239,39
4,178,25717,6351,41
4,173,26100,6479,41
4,176,27403,6777,42
4,168,23289,5965,39
4,169,23166,5827,39
4,179,27240,5950,50
4,150,31855,8205,46
4,82,26709,6887,92
4,83,31528,7603,96
4,84,32700,8189,110
4,85,26724,7167,44
4,174,30096,7193,42
4,175,30964,7863,42
4,186,32491,7048,43
4,187,27475,6895,42
4,188,27783,7372,52
4,189,31378,7682,42
4,190,30400,7488,42
4,191,33397,8534,44
4,193,29981,6977,42
4,184,35378,7886,45
4,185,31508,6837,57
4,192,34812,8864,44
4,194,32220,8003,57
4,195,29354,6865,42
4,196,37370,7818,45
4,1,5555,2212,15
4,52,23356,6353,42
4,129,25303,5583,24
4,170,25045,6074,41
4,171,24083,6106,39
4,183,27279,6887,41
4,197,32814,7078,57
4,177,26118,6676,47
4,172,27979,6793,42
4,26,21783,6463,82
4,25,17178,5356,39
4,86,26004,6974,90
4,198,37129,9413,57
51,2,23509,6101,39
51,3,23421,6443,39
51,4,21190,5354,37
51,53,7540,2832,15
51,54,6134,2320,15
51,55,3350,2035,5
51,56,4792,1749,10
51,81,4657,3525,0
51,87,11419,3864,35
51,10,17077,4797,30
51,11,19254,5367,35
51,5,16446,5242,34
51,6,10536,2746,19
51,7,15438,4068,20
51,8,15078,4481,20
51,9,17410,5611,70
51,130,29408,7450,42
51,159,30599,6255,79
51,40,30075,7100,39
51,72,26439,6666,56
51,16,18653,5024,35
51,160,28452,6117,75
51,17,16839,4440,27
51,37,17075,4680,27
51,38,22466,5576,40
51,42,19337,4706,39
51,69,22329,5680,23
51,73,23607,6204,51
51,12,21334,6111,40
51,13,21347,5610,23
51,14,24100,6469,52
51,15,21879,5432,40
51,39,22667,5789,23
51,41,23676,5313,24
51,70,26143,6302,24
51,71,26804,6422,38
51,102,21531,5877,39
51,43,21286,5383,23
51,44,20633,5406,39
51,67,18665,4576,37
51,68,22192,5744,53
51,74,20774,5563,39
51,75,19709,4883,39
51,36,16374,4479,25
51,45,18175,4772,37
51,64,16900,4419,50
51,65,16470,4780,35
51,66,18279,5428,35
51,76,16671,4451,35
51,18,14425,4192,20
51,19,12953,4165,20
51,20,18572,4629,37
51,21,12709,3979,20
51,22,10085,3492,17
51,33,17667,4561,35
51,34,16338,4374,35
51,46,15873,4305,35
51,31,10881,3195,27
51,32,14252,4269,34
51,47,12997,4307,27
51,48,11402,3458,27
51,60,8364,2548,17
51,61,9308,3239,17
51,78,8722,2378,17
51,23,9221,2953,22
51,24,6574,2228,15
51,27,3645,1561,10
51,28,5522,2007,15
51,29,6085,2283,15
51,30,10771,3111,27
51,49,7211,2722,15
51,59,6091,1886,15
51,113,13984,4597,32
51,50,6021,2482,10
51,57,4564,2623,5
51,58,7328,3804,10
51,79,7585,2979,15
51,80,6715,2727,15
51,88,9959,3641,25
51,110,12516,3501,29
51,62,11207,3848,19
51,63,10063,3028,19
51,90,11931,3908,29
51,91,10316,3108,19
51,92,9824,2770,19
51,93,14989,3870,40
51,111,10528,3468,19
51,112,10873,3007,27
51,114,10457,4022,30
51,115,17912,4175,36
51,116,17882,4422,36
51,117,16724,4524,35
51,89,8330,3097,15
51,109,14813,3990,30
51,120,17798,4616,46
51,121,19706,4517,37
51,77,16479,4738,35
51,94,14503,4429,30
51,95,18985,4457,42
51,96,17029,4800,41
51,100,20214,5371,39
51,101,20957,5675,39
51,107,19256,5319,37
51,108,20122,5155,39
51,97,16963,4828,35
51,98,17361,4930,35
51,99,18186,5004,37
51,103,22118,6036,53
51,104,20847,5289,51
51,105,22120,5069,39
51,106,18490,4691,54
51,125,19152,4724,51
51,126,24883,6058,40
51,127,22909,5846,53
51,128,24387,6031,55
51,131,24459,6001,64
51,122,16759,4315,47
51,123,17892,4414,49
51,124,18312,4767,49
51,132,20318,4939,54
51,133,20349,4922,54
51,134,21078,5340,39
51,157,20077,5317,39
51,158,23085,5495,59
51,135,20483,4940,39
51,136,20122,4685,39
51,137,20108,4842,37
51,138,19197,4921,37
51,139,16518,4558,35
51,140,18304,4558,37
51,141,19282,4797,37
51,118,15009,4016,34
51,119,14609,3742,34
51,142,18092,4632,47
51,143,17591,4506,37
51,144,17666,4583,35
51,145,15964,4033,35
51,153,19173,5271,37
51,155,20188,5290,39
51,156,20998,5085,39
51,154,21296,5482,47
51,162,21723,5620,49
51,163,22211,5586,51
51,164,20990,5202,49
51,161,23061,6012,51
51,165,22002,6000,49
51,166,20450,5270,49
51,167,19563,5272,47
51,180,23975,5853,40
51,181,24379,5967,40
51,182,24824,5807,40
51,146,18308,4842,37
51,147,18197,4734,37
51,148,19789,4623,38
51,151,21196,5393,39
51,152,19943,5325,37
51,178,22272,5632,80
51,173,21720,5436,39
51,176,20863,5533,23
51,168,21082,5264,39
51,169,20959,5126,39
51,179,22708,5212,40
51,150,12477,3958,20
51,82,9517,2857,17
51,83,13714,3690,20
51,84,14553,3974,29
51,85,7358,2917,15
51,174,17971,5094,35
51,175,24995,6193,40
51,186,25455,6239,50
51,187,24179,6564,51
51,188,24955,6427,40
51,189,25409,6012,40
51,190,22182,6248,32
51,191,23296,6334,23
51,193,26527,6379,40
51,184,27815,7230,55
51,185,25148,6423,40
51,192,28816,7190,42
51,194,29392,7058,42
51,195,26058,6534,52
51,196,30346,7233,57
51,1,19998,5541,75
51,52,6195,2139,15
51,129,26347,5802,70
51,170,21781,5443,51
51,171,21160,5210,39
51,183,23839,6126,51
51,197,26306,6940,50
51,177,23290,5731,40
51,172,20100,5397,22
51,26,5010,2001,10
51,25,10037,3549,25
51,86,9983,3695,30
51,198,34441,8018,84
53,2,30615,7943,42
53,3,32440,7834,55
53,4,28311,7259,41
53,51,10115,2925,30
53,54,2110,1662,0
53,55,7773,2955,15
53,56,8445,2398,17
53,81,11926,4050,27
53,87,16878,4681,50
53,10,24457,5901,38
53,11,27848,6615,48
53,5,25103,6505,38
53,6,18638,4944,30
53,7,23541,6266,33
53,8,22122,5880,42
53,9,27755,7536,38
53,130,34391,6998,79
53,159,35967,6930,81
53,40,35030,7946,69
53,72,30890,7407,43
53,16,27247,6572,48
53,160,32463,6578,79
53,17,25276,5916,38
53,37,25512,6156,38
53,38,28262,6535,42
53,42,27750,6516,52
53,69,29917,7224,54
53,73,28261,6909,42
53,12,29928,8103,44
53,13,30501,7405,39
53,14,33581,8268,60
53,15,32285,6538,71
53,39,32441,7831,44
53,41,32331,7472,40
53,70,34135,8177,43
53,71,32746,7632,43
53,102,26979,6768,40
53,43,28874,6926,52
53,44,26438,6365,41
53,67,24831,5973,38
53,68,26254,6589,38
53,74,27079,6401,40
53,75,29776,6676,69
53,36,26490,5976,41
53,45,23918,5529,39
53,64,21351,5174,37
53,65,23643,5874,47
53,66,24478,6414,39
53,76,22871,5992,39
53,18,21633,6041,27
53,19,20961,5871,27
53,20,23700,5671,39
53,21,20415,5660,22
53,22,17984,5228,22
53,33,23486,5524,39
53,34,22156,5340,37
53,46,21691,5267,37
53,31,18610,5022,30
53,32,25305,6150,39
53,47,24764,6067,39
53,48,19131,5289,30
53,60,13814,3413,0
53,61,21736,5617,37
53,78,17377,4837,35
53,23,16874,4716,22
53,24,14482,3978,20
53,27,11828,3543,19
53,28,14177,4466,32
53,29,13988,4033,20
53,30,18500,4938,30
53,49,16189,4615,25
53,59,14746,4345,34
53,113,19266,5531,35
53,50,14675,4941,32
53,57,9723,2991,17
53,58,12488,4172,19
53,79,13516,4089,20
53,80,11875,3095,20
53,88,14490,4300,25
53,110,16936,4271,22
53,62,21093,5393,32
53,63,19246,4793,32
53,90,16188,4394,22
53,91,16783,4425,22
53,92,17248,4207,22
53,93,19055,5052,27
53,111,15159,4088,20
53,112,17861,4186,35
53,114,15094,4609,39
53,115,17132,4501,30
53,116,17277,4592,30
53,117,17085,4801,27
53,89,13489,3465,20
53,109,19580,4943,37
53,120,21159,4863,0
53,121,22465,5146,49
53,77,23373,5594,37
53,94,20767,5193,33
53,95,23740,5244,54
53,96,23140,5694,39
53,100,24646,6031,52
53,101,26458,6516,54
53,107,23445,5875,47
53,108,22343,5560,33
53,97,22901,5943,33
53,98,23422,6066,33
53,99,23840,5997,33
53,103,26797,6741,40
53,104,24885,5433,59
53,105,23945,5605,54
53,106,23625,5296,54
53,125,24500,5279,54
53,126,25824,5651,60
53,127,26924,5990,64
53,128,29902,6854,42
53,131,29806,6794,66
53,122,22107,4870,49
53,123,23239,4969,54
53,124,23659,5322,54
53,132,25665,5494,57
53,133,25696,5477,57
53,134,22996,6007,39
53,157,23164,5753,39
53,158,28433,6050,61
53,135,22201,6001,37
53,136,21571,5540,37
53,137,21675,5705,32
53,138,21696,5612,32
53,139,19181,4988,22
53,140,20570,5196,37
53,141,21806,5527,37
53,118,18536,4796,22
53,119,18136,4522,22
53,142,21362,5349,37
53,143,19849,5181,32
53,144,19020,5164,32
53,145,18223,4708,27
53,153,20124,5773,32
53,155,23036,5996,39
53,156,23256,5760,39
53,154,23328,6035,39
53,162,24992,6243,39
53,163,25012,6522,39
53,164,24316,6205,39
53,161,26510,6702,41
53,165,25618,6686,39
53,166,23719,6193,39
53,167,22832,6195,37
53,180,24985,6326,39
53,181,26627,6782,41
53,182,26944,6482,42
53,146,21381,5260,37
53,147,21270,5152,37
53,148,19104,5267,30
53,151,17942,4843,36
53,152,23016,5747,39
53,178,25234,6307,39
53,173,24812,5857,41
53,176,27422,6858,41
53,168,22032,5766,37
53,169,21909,5628,37
53,179,23658,5715,39
53,150,17347,5028,45
53,82,6101,2842,20
53,83,10298,3675,27
53,84,11132,3959,35
53,85,12229,3987,35
53,174,22394,6189,50
53,175,25501,6552,53
53,186,26762,6888,55
53,187,26961,6855,41
53,188,29108,7722,42
53,189,25915,6371,54
53,190,29131,6870,42
53,191,28685,7536,43
53,193,31868,7397,42
53,184,29495,7503,42
53,185,27148,7164,55
53,192,29322,7549,54
53,194,29100,7771,42
53,195,28839,6821,42
53,196,31641,7658,56
53,1,28440,7157,95
53,52,3639,1848,5
53,129,30522,6599,71
53,170,25050,6066,39
53,171,20924,5867,37
53,183,27241,6811,41
53,197,30816,7329,52
53,177,26376,6738,41
53,172,23776,6054,39
53,26,6789,3398,10
53,25,17940,5165,30
53,86,17753,5292,44
53,198,36588,8369,79
54,2,28514,7217,54
54,3,30797,7735,62
54,4,28711,7037,34
54,51,8469,2592,17
54,53,2110,1573,0
54,55,7109,2773,20
54,56,6821,2316,15
54,81,12235,4028,27
54,87,15153,4584,42
54,10,23905,5950,43
54,11,26397,6567,38
54,5,23494,6067,33
54,6,17551,4617,30
54,7,22454,5939,33
54,8,21863,5894,40
54,9,24218,6421,45
54,130,33304,6660,79
54,159,34880,6592,81
54,40,33943,7608,69
54,72,29803,7073,42
54,16,26458,6555,33
54,160,31376,6240,79
54,17,23668,5778,33
54,37,23904,6018,33
54,38,25897,6578,39
54,42,26604,6414,41
54,69,28302,6947,41
54,73,27174,6575,41
54,12,28319,7226,39
54,13,28892,7128,34
54,14,31941,7909,44
54,15,31198,6200,71
54,39,29712,7510,34
54,41,30722,7034,35
54,70,33189,8023,35
54,71,31659,7298,42
54,102,25892,6434,39
54,43,27258,6649,41
54,44,26122,6359,39
54,67,23744,5639,37
54,68,25167,6255,37
54,74,25992,6067,39
54,75,24099,5865,53
54,36,23203,5817,33
54,45,22440,5606,51
54,64,23095,5304,39
54,65,22187,5514,32
54,66,23578,5999,37
54,76,21041,5133,51
54,18,20546,5707,27
54,19,19573,5512,22
54,20,19741,5004,35
54,21,19328,5326,22
54,22,16897,4894,22
54,33,22065,5515,51
54,34,21120,5369,32
54,46,20271,5258,49
54,31,17523,4658,30
54,32,17378,5286,22
54,47,19639,5770,30
54,48,18044,4921,30
54,60,15409,4430,30
54,61,19073,5338,30
54,78,15768,4260,30
54,23,15787,4382,20
54,24,13395,3644,20
54,27,10741,3209,19
54,28,12568,3889,27
54,29,12901,3699,20
54,30,17413,4574,30
54,49,15102,4364,25
54,59,13137,3768,29
54,113,15803,4979,34
54,50,13066,4364,27
54,57,8114,2910,15
54,58,10878,4090,17
54,79,11907,4007,19
54,80,10265,3014,19
54,88,11779,4023,32
54,110,15457,4397,34
54,62,19673,5409,44
54,63,15511,3499,0
54,90,13845,4384,20
54,91,15305,4551,34
54,92,17204,4647,22
54,93,18044,4992,44
54,111,14072,3754,20
54,112,12692,3389,29
54,114,14007,4275,39
54,115,16045,4167,30
54,116,16190,4258,30
54,117,15997,4462,25
54,89,11880,3384,20
54,109,17736,4523,22
54,120,20072,4525,0
54,121,21378,4808,49
54,77,22286,5260,37
54,94,19680,4859,32
54,95,22653,4906,54
54,96,20393,5207,27
54,100,22997,5779,37
54,101,24809,6264,39
54,107,21796,5623,32
54,108,21256,5226,32
54,97,21333,5513,49
54,98,21731,5612,51
54,99,22832,5720,51
54,103,25085,5891,55
54,104,23798,5095,59
54,105,22858,5267,54
54,106,22538,4958,54
54,125,23413,4941,54
54,126,24737,5317,60
54,127,25837,5652,64
54,128,27338,5842,69
54,131,28719,6456,66
54,122,21020,4532,49
54,123,22152,4631,54
54,124,22572,4984,54
54,132,24578,5156,57
54,133,24609,5139,57
54,134,21909,5672,39
54,157,22077,5418,39
54,158,27346,5712,61
54,135,21114,5666,37
54,136,20484,5205,37
54,137,20588,5370,32
54,138,20609,5277,32
54,139,18094,4654,22
54,140,19483,4861,37
54,141,20719,5192,37
54,118,17449,4462,22
54,119,17049,4188,22
54,142,20275,5014,37
54,143,18762,4843,32
54,144,17933,4826,32
54,145,17136,4370,27
54,153,19037,5435,32
54,155,21949,5658,39
54,156,22169,5422,39
54,154,22241,5700,39
54,162,23905,5908,39
54,163,23925,6187,39
54,164,23229,5870,39
54,161,25423,6367,41
54,165,24531,6351,39
54,166,22632,5858,39
54,167,21745,5860,37
54,180,23898,5988,39
54,181,25540,6447,41
54,182,25857,6144,42
54,146,17551,4963,30
54,147,17046,4841,30
54,148,18017,4933,30
54,151,16855,4509,36
54,152,18792,5432,35
54,178,24147,5972,39
54,173,20570,5543,37
54,176,26335,6523,41
54,168,20945,5428,37
54,169,20822,5290,37
54,179,22571,5377,39
54,150,16236,4694,35
54,82,7855,3165,20
54,83,9315,2459,17
